Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
David Alaba Real Madrid,0.1707317073170731,0.2799999999999999,0.1728395061728395,0.1818181818181818,0.1458333333333333,0.2352941176470588,0.0571428571428571,0.054054054054054,0.8803921568627449,0.1052631578947368,0.1282051282051282,0.0769230769230769,0.41,0.02,0.39,0.17,0.02,0.67,0.85,0.0
Omar Mascarell Elche,0.4390243902439025,0.5599999999999999,0.1851851851851852,0.2727272727272727,0.0833333333333333,0.2352941176470588,0.1999999999999999,0.1891891891891891,0.8019607843137253,0.131578947368421,0.3846153846153847,0.0,0.3,0.0,0.19,0.23,0.0,0.53,0.93,0.0
Sergio Escudero Real Valladolid,0.4390243902439025,0.4,0.2222222222222222,0.1363636363636363,0.2083333333333333,0.1764705882352941,0.0285714285714285,0.2432432432432432,0.5745098039215686,0.1578947368421052,0.1538461538461538,0.0,0.31,0.02,0.13,0.2,0.01,0.81,0.92,0.0
Valentín Castellanos Girona,0.0975609756097561,0.08,0.0987654320987654,0.0454545454545454,0.5,0.1176470588235294,0.1428571428571428,0.3783783783783783,0.3686274509803922,0.0,0.0384615384615384,0.0769230769230769,0.0,0.98,0.03,0.0,0.2,0.0,0.01,0.3
Nacho Real Madrid,0.1707317073170731,0.16,0.1728395061728395,0.0909090909090909,0.0416666666666666,0.1176470588235294,0.1142857142857142,0.1351351351351351,0.9431372549019604,0.0,0.1153846153846154,0.0,0.29,0.01,0.34,0.4,0.01,0.33,0.53,0.02
Dani Rodríguez Mallorca,0.2926829268292683,0.24,0.037037037037037,0.0909090909090909,0.1666666666666666,0.2352941176470588,0.2285714285714285,0.2702702702702702,0.7392156862745096,0.0526315789473684,0.1538461538461538,0.0769230769230769,0.01,0.05,0.49,0.0,0.41,0.46,0.07,0.14
Óliver Torres Sevilla,0.2926829268292683,0.16,0.0246913580246913,0.0909090909090909,0.1458333333333333,0.3235294117647059,0.1142857142857142,0.4054054054054054,0.7313725490196079,0.131578947368421,0.3076923076923077,0.0,0.01,0.18,0.39,0.12,0.48,0.54,0.52,0.02
Santiago Bueno Girona,0.4390243902439025,0.4,0.345679012345679,0.3181818181818182,0.1041666666666666,0.088235294117647,0.0285714285714285,0.2972972972972972,0.8196078431372549,0.0263157894736842,0.4615384615384616,0.0,0.95,0.0,0.03,0.14,0.0,0.01,0.25,0.0
Rubén Sobrino Cadiz,0.3414634146341463,0.2799999999999999,0.0617283950617284,0.0454545454545454,0.2083333333333333,0.1764705882352941,0.1999999999999999,0.4324324324324324,0.556862745098039,0.0,0.0256410256410256,0.0,0.01,0.5,0.26,0.13,0.49,0.3,0.01,0.42
Domingos Duarte Getafe,0.2439024390243902,0.52,0.5802469135802469,0.3636363636363636,0.125,0.0588235294117647,0.0571428571428571,0.2162162162162162,0.6529411764705881,0.0,0.3461538461538462,0.0,1.0,0.0,0.0,0.09,0.01,0.0,0.21,0.0
