Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"121Johan GastienClermont Foot, 35, DMC","Johan Gastien Clermont Foot, 35, DMC",2,0.9,66.5,84.1,0.6,5.2,0.1,6.72,20(2),1797.0
"122Maxime DupéToulouse, 30, GK","Maxime Dupé Toulouse, 30, GK",-,-,29.6,76.1,-,5.2,-,6.72,29,2610.0
"123Arnaud KalimuendoRennes, 21, FW","Arnaud Kalimuendo Rennes, 21, FW",2,0.5,15.4,84.0,-,0.1,-,6.71,19(3),1468.0
"124Corentin TolissoLyon, 28, D(R),M(CR)","Corentin Tolisso Lyon, 28, D(R),M(CR)",1,1,56.8,88.9,0.4,3.6,0.3,6.71,17(5),1350.0
"125JubalAuxerre, 29, D(C)","Jubal Auxerre, 29, D(C)",1,0.1,37.0,82.1,0.1,4.3,-,6.71,26(2),2406.0
"126Thijs DallingaToulouse, 22, FW","Thijs Dallinga Toulouse, 22, FW",1,0.7,13.2,67.8,-,0.3,-,6.7,22(6),1733.0
"127Faitout MaouassaMontpellier, 24, D(L),M(LR)","Faitout Maouassa Montpellier, 24, D(L),M(LR)",5,0.8,15.6,69.0,0.8,0.6,-,6.7,19(6),1564.0
"128Thiago MendesLyon, 31, D(CR),M(CR)","Thiago Mendes Lyon, 31, D(CR),M(CR)",1,0.4,57.3,86.3,-,3.6,0.1,6.7,19(5),1706.0
"129Julien LaporteLorient, 29, D(C)","Julien Laporte Lorient, 29, D(C)",-,0.1,40.4,85.1,-,3.2,-,6.7,18,1543.0
"130Fabián RuizPSG, 27, M(CL)","Fabián Ruiz PSG, 27, M(CL)",1,0.5,58.3,91.5,-,1.9,0.1,6.7,16(4),1361.0
"131Leonardo BalerdiMarseille, 24, D(C)","Leonardo Balerdi Marseille, 24, D(C)",1,0.1,46.1,84.7,-,3.3,-,6.7,24(3),2067.0
"132Gideon MensahAuxerre, 24, D(L),M(L)","Gideon Mensah Auxerre, 24, D(L),M(L)",-,0.9,43.6,78.0,0.6,2.8,0.1,6.7,20,1723.0
"133Alexander NübelMonaco, 26, GK","Alexander Nübel Monaco, 26, GK",-,-,25.3,70.7,-,7.0,-,6.7,29,2610.0
"134Sofiane DiopNice, 22, AM(CLR)","Sofiane Diop Nice, 22, AM(CLR)",4,0.9,28.2,83.0,0.5,0.9,-,6.7,12(6),1010.0
"135Montassar TalbiLorient, 24, D(C)","Montassar Talbi Lorient, 24, D(C)",1,0.1,51.6,89.7,-,1.8,-,6.7,29,2610.0
"136Flavien TaitRennes, 30, M(CLR)","Flavien Tait Rennes, 30, M(CLR)",2,0.8,37.9,85.5,-,2.5,-,6.7,16(8),1431.0
"137Hamza SakhiAuxerre, 26, AM(C)","Hamza Sakhi Auxerre, 26, AM(C)",2,1.5,35.0,86.4,0.9,4.1,0.2,6.69,18(5),1592.0
"138Laurent AbergelLorient, 30, DMC","Laurent Abergel Lorient, 30, DMC",1,0.5,43.0,87.8,-,1.6,0.2,6.69,20(1),1638.0
"139Tiago DjalóLille, 22, D(CLR)","Tiago Djaló Lille, 22, D(CLR)",-,0.1,62.9,93.1,-,2.6,-,6.69,24(1),2022.0
"140Mounaïm El IdrissyAC Ajaccio, 24, FW","Mounaïm El Idrissy AC Ajaccio, 24, FW",-,0.4,18.7,68.5,-,0.4,-,6.69,24(2),2028.0
"141Lucas ChevalierLille, 21, GK","Lucas Chevalier Lille, 21, GK",-,-,27.7,75.2,-,3.3,-,6.68,23,2070.0
"142Castello LukebaLyon, 20, D(C)","Castello Lukeba Lyon, 20, D(C)",-,0.1,66.4,90.2,0.1,2.2,-,6.68,25(1),2266.0
