Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"127Faitout MaouassaMontpellier, 24, D(L),M(LR)","Faitout Maouassa Montpellier, 24, D(L),M(LR)",19(6),1564,3,5,1,0.8,0.6,0.8,-,0.7,1.1,6.7
"128Thiago MendesLyon, 31, D(CR),M(CR)","Thiago Mendes Lyon, 31, D(CR),M(CR)",19(5),1706,1,1,0.5,0.4,0.2,0.7,-,0.5,0.7,6.7
"129Julien LaporteLorient, 29, D(C)","Julien Laporte Lorient, 29, D(C)",18,1543,-,-,0.3,0.1,0.1,0.8,0.1,0.1,0.3,6.7
"130Fabián RuizPSG, 27, M(CL)","Fabián Ruiz PSG, 27, M(CL)",16(4),1361,1,1,0.8,0.5,0.5,0.5,0.2,0.6,0.9,6.7
"131Leonardo BalerdiMarseille, 24, D(C)","Leonardo Balerdi Marseille, 24, D(C)",24(3),2067,-,1,0.1,0.1,0.3,0.6,-,0.1,0.6,6.7
"132Gideon MensahAuxerre, 24, D(L),M(L)","Gideon Mensah Auxerre, 24, D(L),M(L)",20,1723,-,-,0.2,0.9,1,0.7,0.1,0.5,1.7,6.7
"133Alexander NübelMonaco, 26, GK","Alexander Nübel Monaco, 26, GK",29,2610,-,-,-,-,-,-,-,-,-,6.7
"134Sofiane DiopNice, 22, AM(CLR)","Sofiane Diop Nice, 22, AM(CLR)",12(6),1010,1,4,1.1,0.9,0.9,0.9,0.1,1.1,1.9,6.7
"135Montassar TalbiLorient, 24, D(C)","Montassar Talbi Lorient, 24, D(C)",29,2610,1,1,0.2,0.1,0.2,0.6,-,0.2,0.4,6.7
"136Flavien TaitRennes, 30, M(CLR)","Flavien Tait Rennes, 30, M(CLR)",16(8),1431,2,2,0.8,0.8,0.8,1,-,1,0.8,6.7
"137Hamza SakhiAuxerre, 26, AM(C)","Hamza Sakhi Auxerre, 26, AM(C)",18(5),1592,1,2,1.2,1.5,0.6,0.8,0.2,0.6,0.9,6.69
"138Laurent AbergelLorient, 30, DMC","Laurent Abergel Lorient, 30, DMC",20(1),1638,-,1,0.4,0.5,0.7,0.9,-,0.7,1,6.69
"139Tiago DjalóLille, 22, D(CLR)","Tiago Djaló Lille, 22, D(CLR)",24(1),2022,2,-,0.6,0.1,0.2,0.7,-,0.3,0.2,6.69
"140Mounaïm El IdrissyAC Ajaccio, 24, FW","Mounaïm El Idrissy AC Ajaccio, 24, FW",24(2),2028,6,-,1.8,0.4,0.4,2.7,0.7,1.2,2.7,6.69
"141Lucas ChevalierLille, 21, GK","Lucas Chevalier Lille, 21, GK",23,2070,-,-,-,-,-,0.1,-,-,-,6.68
"142Castello LukebaLyon, 20, D(C)","Castello Lukeba Lyon, 20, D(C)",25(1),2266,1,-,0.3,0.1,0.2,0.6,-,0.3,0.5,6.68
"143Deiver MachadoLens, 29, M(L)","Deiver Machado Lens, 29, M(L)",19(7),1713,3,1,0.5,0.5,0.4,1.3,0.2,0.3,0.9,6.68
"144Arthur TheateRennes, 22, D(C)","Arthur Theate Rennes, 22, D(C)",28,2513,2,-,0.6,0.3,0.2,0.4,-,0.2,0.5,6.65
"145Kevin GameiroStrasbourg, 35, FW","Kevin Gameiro Strasbourg, 35, FW",22(4),1875,7,-,1.5,0.9,0.7,0.5,0.2,1,1.6,6.65
"146Issiaga SyllaToulouse, 29, D(LR),M(L)","Issiaga Sylla Toulouse, 29, D(LR),M(L)",16(1),1376,-,-,0.5,0.4,0.6,1.1,0.1,2,1.4,6.65
"147Anthony LopesLyon, 32, GK","Anthony Lopes Lyon, 32, GK",23,2007,-,-,-,-,-,-,-,-,-,6.65
"148Zakaria AboukhlalToulouse, 23, AM(LR)","Zakaria Aboukhlal Toulouse, 23, AM(LR)",24(5),2062,6,5,2.2,0.6,1.1,1.4,0.6,1.1,2.1,6.65
"149Farès ChaïbiToulouse, 20, AM(L)","Farès Chaïbi Toulouse, 20, AM(L)",18(9),1747,4,4,1.6,0.8,0.3,0.6,0.2,0.7,1.7,6.65
"150Marco BizotBrest, 32, GK","Marco Bizot Brest, 32, GK",28,2520,-,-,-,-,-,0.1,-,-,-,6.65
"151Nicolas PalloisNantes, 35, D(C)","Nicolas Pallois Nantes, 35, D(C)",20,1710,-,-,0.3,0.1,0.2,0.1,-,0.4,0.7,6.64
"152Jackson PorozoTroyes, 22, D(C)","Jackson Porozo Troyes, 22, D(C)",16(3),1472,2,-,1.0,0.1,0.4,0.8,0.1,0.3,0.4,6.64
